Id,poisonous
5165,1
4281,1
231,1
3890,1
1521,1
5874,1
1847,0
1023,0
3561,1
6885,1
5170,1
5224,1
589,1
5337,1
1107,1
6452,1
2640,1
3035,1
3339,1
4465,1
5915,1
5046,1
7859,1
7855,1
6503,1
497,1
5325,0
6535,1
3927,1
1573,1
1975,1
3982,1
6580,0
8051,1
4567,1
5109,1
7208,1
7109,1
1253,1
6520,1
7497,0
3522,1
7559,1
3104,1
6305,1
3066,1
4749,1
754,1
1941,1
2940,1
366,1
2625,1
1189,0
6046,1
1299,1
2667,1
6984,1
3300,0
1829,1
7794,1
4027,1
2806,1
866,0
7117,1
4787,1
8091,1
20,1
1353,0
2215,1
5742,1
6560,0
3844,1
1070,1
7433,1
7990,1
5475,1
5366,1
915,0
3138,1
5035,0
1382,1
1571,1
7757,1
3361,1
7044,1
6005,1
2230,0
5373,1
5303,0
3193,1
6766,0
6484,1
6516,1
7603,1
4874,1
2417,0
6146,1
7110,1
4066,1
3885,1
3472,1
1566,1
5181,1
1398,1
3881,1
8040,1
7513,1
7641,1
375,1
5027,1
3717,1
4556,1
2219,1
5744,1
6842,1
6621,0
6982,1
406,1
5535,1
6906,1
5869,1
5473,1
2145,1
417,1
6894,1
6801,1
5237,1
5412,1
583,1
8104,0
2003,1
3191,1
2192,1
633,0
3251,1
2830,1
142,1
3806,1
6663,1
1329,1
1456,1
7887,1
5,1
2493,1
234,1
723,1
5856,1
5433,1
3812,1
1599,1
1842,1
3437,1
2134,1
1550,1
1944,1
2350,0
6310,1
531,1
7496,0
7243,1
1653,1
3540,1
3769,0
532,1
291,1
2345,0
51,1
2378,1
7706,1
2446,1
4906,1
1029,0
720,1
1820,1
7846,1
1150,1
3425,0
1060,1
850,1
4492,0
5323,1
2888,1
1457,1
3057,1
482,1
89,1
7466,1
7477,1
6464,1
1693,1
7974,1
1669,1
38,1
277,1
7798,1
7818,1
7069,1
2138,1
495,1
276,1
8036,1
4268,1
421,1
1983,1
6123,1
6471,0
7350,1
5621,1
6494,1
7330,0
4704,1
72,1
958,1
4003,1
2354,1
6887,1
1595,1
7781,1
2130,1
1675,1
5100,1
5427,1
7763,1
819,1
7206,0
2146,1
1491,1
6446,1
1168,1
5857,1
1357,1
2739,1
1645,1
2388,1
4564,1
6962,1
8121,1
7392,1
5158,1
1034,1
1165,1
4177,1
117,1
5743,1
608,0
1436,1
6178,1
1275,1
2741,1
7751,1
1716,1
2988,0
596,1
7708,1
1470,1
2565,1
5051,1
4687,1
1650,0
1347,1
35,1
6816,1
7645,1
3379,1
4811,1
5161,1
5867,1
8123,0
5244,1
7711,1
1594,1
2966,1
5349,1
1582,1
3704,1
6493,1
50,1
1194,0
7742,1
2704,1
2217,1
7675,1
1831,1
3131,1
6150,1
6719,1
3225,0
3323,1
8025,1
402,1
4160,1
19,1
337,0
6114,1
7473,1
6212,0
3291,1
6087,1
6641,1
2204,1
1384,1
6528,1
2674,1
610,1
5522,1
3799,1
390,1
2016,1
7106,1
2317,1
4131,1
1359,1
2618,1
5411,1
6751,1
7775,1
7921,1
3297,1
5191,1
211,1
693,1
5782,0
7685,0
3882,1
5281,0
5755,1
4229,0
1823,1
5184,1
5333,1
5312,1
5393,1
6277,0
70,1
4167,1
2793,1
3697,1
551,0
5858,1
6032,0
1637,1
3144,1
2010,1
3701,1
4834,1
1947,1
445,1
63,1
6927,1
780,1
6576,1
7168,0
824,1
1184,1
3085,1
6787,1
6632,1
7778,1
2358,1
4431,1
973,1
4514,1
3075,1
4108,1
2251,1
6281,1
6870,1
6240,1
2284,1
5975,1
822,1
4407,1
283,1
3429,0
342,1
1558,1
2569,1
4416,1
2850,1
4733,1
6411,1
3615,1
7309,0
7616,1
5604,0
4035,1
3016,1
7259,1
5124,1
5331,0
3728,1
2025,1
1498,1
2713,0
6765,0
4598,1
2842,1
3632,1
844,1
727,1
5636,1
4839,1
5316,1
1505,1
4266,0
3705,0
4292,0
5990,1
2119,1
2880,1
2693,1
3925,1
6800,1
762,1
4421,1
3201,1
3382,1
5672,1
4627,1
1685,1
6001,0
7137,1
5716,1
4502,1
2105,1
1705,1
1020,1
3389,1
416,0
6944,1
8114,1
2019,1
6405,1
3856,1
5394,1
5068,1
6727,1
5071,1
7594,1
7282,1
5760,1
8044,0
3954,1
1856,1
6577,1
2952,1
2127,0
7126,1
285,1
636,1
3831,1
2970,1
1109,1
6597,1
1167,0
1966,1
1338,1
7340,1
4621,1
5549,1
2189,1
6127,1
2152,0
6638,0
7079,1
2809,1
4747,1
5380,1
4290,1
6607,1
5819,1
3720,1
7814,1
6243,1
6759,1
2939,1
158,1
328,1
656,1
6320,1
6477,0
2677,1
1679,1
5654,1
3072,1
2848,1
4615,1
6803,1
6846,1
399,1
6432,1
7827,1
3543,1
2836,1
4713,1
2963,1
2478,1
7607,1
5437,1
843,0
5111,1
6598,1
5064,1
1740,1
7361,1
5277,1
2568,1
3149,1
88,0
6784,1
2907,1
2296,1
5212,1
5120,1
2670,1
2274,1
7658,1
6614,1
4602,1
2857,0
3110,1
1506,1
3832,1
2766,1
7325,1
1791,1
3729,1
6256,1
7585,0
8089,1
4277,1
6374,1
7568,1
5232,1
3883,0
3872,0
1349,0
7989,1
4929,0
6582,1
7980,1
2357,1
3932,1
6876,1
1409,1
614,1
4804,1
6317,1
6410,1
4965,0
6589,1
305,1
64,1
3750,1
7483,1
668,1
3996,1
5399,1
7907,1
701,1
6694,1
4289,0
2732,1
1982,0
45,1
4186,1
3851,0
5257,1
4262,1
2753,1
30,1
7882,1
3845,1
384,1
3062,1
3978,1
6279,0
4575,1
7254,1
3702,1
6958,1
2920,1
700,1
235,1
3536,1
2480,1
2401,1
2295,1
7314,1
6459,1
3986,1
262,1
5211,1
5852,1
5459,1
266,1
6810,1
2987,1
2624,0
1278,1
7571,1
3849,1
3391,1
3737,1
3308,1
3647,1
5816,0
7177,1
1035,1
794,1
7010,1
5937,1
995,0
7923,1
6280,1
6531,1
3475,0
4336,1
6010,1
5199,1
6687,1
2205,1
5947,1
7548,1
5659,0
4623,1
2696,1
8080,1
119,0
3071,1
6823,1
7372,1
4631,1
1044,1
2519,1
8109,1
1978,1
1700,1
8071,1
6537,1
7633,0
7656,1
3871,1
1415,1
978,1
6389,0
7230,1
4905,1
3186,1
4891,1
6433,1
1339,1
3233,1
499,1
4436,1
1980,1
3412,1
2933,1
1071,1
1697,1
3106,1
6517,1
6353,1
5813,1
7407,1
5299,1
6881,1
3313,1
4688,0
5893,1
4368,1
1152,1
494,1
3558,1
2547,1
528,1
3172,1
976,1
970,0
792,1
5663,1
6074,1
6780,1
3079,1
4490,1
2468,1
6245,0
4470,1
2778,1
5193,0
2201,1
7124,1
4315,1
2953,1
3430,1
7322,1
6521,1
1100,1
4348,1
3575,1
3350,0
6403,1
4260,1
16,1
3360,1
5414,1
7958,1
7195,1
654,1
3443,1
3155,1
4320,1
6615,1
6296,1
4214,1
1232,1
3493,0
1924,1
2679,1
5213,1
5652,1
7829,1
4645,1
1654,1
4282,1
7528,1
8077,1
4452,1
7771,1
4769,1
1495,1
6653,1
5329,1
448,1
1025,1
2137,0
7933,1
1416,0
4413,1
7900,1
7093,1
585,1
4864,1
4959,1
2593,1
7879,1
1862,1
2636,1
111,1
5958,1
5284,1
5591,1
5255,1
2858,1
4165,1
6986,1
3669,0
4519,1
4513,1
6090,1
4528,1
2000,0
341,1
3597,1
1421,1
4084,0
3671,1
4048,1
4226,1
4438,1
1269,0
5397,1
846,1
2660,1
1801,1
3440,1
1038,1
1431,1
5723,1
483,1
136,1
5098,1
2017,1
6858,0
1781,1
4796,1
4816,1
3765,1
7161,1
6866,1
3980,1
7427,1
2967,0
1328,1
7308,0
4522,1
2419,1
2576,0
2579,1
7338,1
4242,1
1535,1
1087,1
4133,1
4896,1
365,0
1408,1
3198,1
3724,1
4770,1
4019,1
5855,1
1459,1
1614,1
6027,1
900,1
2843,1
3500,1
7844,1
4498,1
7540,0
1554,0
6217,1
4799,1
5987,1
5592,1
2208,1
898,1
3330,1
7929,1
5945,1
1203,1
7511,0
224,1
1175,1
4776,1
5375,1
2999,1
451,1
2012,1
5884,1
470,0
7728,0
3545,1
5959,1
7063,1
7636,0
6180,1
3010,1
4690,0
3372,1
